state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Alabama,2/15/2020,5.0,2.0,39.0,7.0,2.0,-1.0
Alaska,2/15/2020,5.0,3.0,14.0,2.0,1.0,0.0
Arizona,2/15/2020,3.0,2.0,13.0,3.0,-1.0,0.0
Arkansas,2/15/2020,3.0,2.0,8.0,-3.0,1.0,0.0
California,2/15/2020,1.0,1.0,19.0,1.0,-1.0,0.0
Colorado,2/15/2020,2.0,3.0,-16.0,-1.0,1.0,0.0
Connecticut,2/15/2020,4.0,-4.0,16.0,8.0,-2.0,0.0
Delaware,2/15/2020,7.0,2.0,19.0,20.0,2.0,0.0
District of Columbia,2/15/2020,-2.0,-2.0,13.0,-2.0,-2.0,-1.0
Florida,2/15/2020,2.0,0.0,9.0,2.0,-1.0,-1.0
Georgia,2/15/2020,5.0,1.0,42.0,4.0,1.0,-1.0
Hawaii,2/15/2020,2.0,2.0,19.0,4.0,-1.0,0.0
Idaho,2/15/2020,3.0,3.0,7.0,0.0,-1.0,0.0
Illinois,2/15/2020,4.0,3.0,10.0,3.0,3.0,-1.0
Indiana,2/15/2020,9.0,4.0,16.0,7.0,0.0,-1.0
Iowa,2/15/2020,8.0,13.0,24.0,0.0,3.0,-1.0
Kansas,2/15/2020,4.0,0.0,9.0,2.0,2.0,0.0
Kentucky,2/15/2020,8.0,4.0,37.0,9.0,1.0,-1.0
Louisiana,2/15/2020,8.0,6.0,26.0,13.0,2.0,-1.0
Maine,2/15/2020,4.0,-3.0,-6.0,13.0,-3.0,1.0
Maryland,2/15/2020,2.0,0.0,4.0,1.0,0.0,-1.0
Massachusetts,2/15/2020,2.0,-4.0,0.0,3.0,-2.0,0.0
Michigan,2/15/2020,2.0,0.0,15.0,5.0,4.0,0.0
Minnesota,2/15/2020,6.0,2.0,13.0,5.0,1.0,-1.0
Mississippi,2/15/2020,8.0,6.0,17.0,8.0,1.0,-1.0
Missouri,2/15/2020,5.0,4.0,11.0,1.0,4.0,-1.0
Montana,2/15/2020,4.0,2.0,-8.0,2.0,0.0,0.0
Nebraska,2/15/2020,9.0,5.0,37.0,-1.0,-1.0,-1.0
Nevada,2/15/2020,3.0,2.0,8.0,2.0,-2.0,0.0
New Hampshire,2/15/2020,3.0,-2.0,6.0,18.0,2.0,0.0
New Jersey,2/15/2020,3.0,-3.0,5.0,2.0,1.0,0.0
New Mexico,2/15/2020,5.0,8.0,21.0,2.0,0.0,-1.0
New York,2/15/2020,3.0,-4.0,-2.0,-4.0,1.0,0.0
North Carolina,2/15/2020,6.0,-1.0,23.0,4.0,-1.0,-1.0
North Dakota,2/15/2020,7.0,-2.0,-1.0,5.0,1.0,-1.0
Ohio,2/15/2020,5.0,0.0,15.0,1.0,0.0,0.0
Oklahoma,2/15/2020,4.0,2.0,7.0,2.0,1.0,0.0
Oregon,2/15/2020,2.0,-3.0,-5.0,-1.0,-1.0,0.0
Pennsylvania,2/15/2020,5.0,-1.0,13.0,3.0,0.0,0.0
Rhode Island,2/15/2020,1.0,-4.0,15.0,2.0,-1.0,0.0
South Carolina,2/15/2020,7.0,3.0,39.0,5.0,0.0,-1.0
South Dakota,2/15/2020,7.0,6.0,4.0,3.0,-1.0,0.0
Tennessee,2/15/2020,7.0,4.0,54.0,4.0,3.0,-1.0
Texas,2/15/2020,3.0,3.0,12.0,3.0,1.0,-1.0
Utah,2/15/2020,2.0,3.0,25.0,0.0,0.0,0.0
Vermont,2/15/2020,10.0,2.0,24.0,8.0,0.0,0.0
Virginia,2/15/2020,2.0,2.0,3.0,4.0,0.0,0.0
Washington,2/15/2020,2.0,-1.0,8.0,8.0,-3.0,0.0
West Virginia,2/15/2020,7.0,-3.0,17.0,0.0,0.0,0.0
Wisconsin,2/15/2020,7.0,6.0,22.0,3.0,3.0,-1.0
Wyoming,2/15/2020,4.0,3.0,1.0,-5.0,1.0,0.0
Alabama,2/16/2020,0.0,-2.0,-7.0,3.0,-1.0,1.0
Alaska,2/16/2020,15.0,5.0,29.0,6.0,1.0,-1.0
Arizona,2/16/2020,7.0,3.0,30.0,3.0,0.0,-1.0
Arkansas,2/16/2020,5.0,4.0,32.0,0.0,1.0,-1.0
California,2/16/2020,5.0,0.0,31.0,1.0,-1.0,-1.0
Colorado,2/16/2020,7.0,5.0,-7.0,3.0,1.0,0.0
Connecticut,2/16/2020,5.0,-5.0,-4.0,3.0,0.0,0.0
Delaware,2/16/2020,6.0,2.0,21.0,4.0,2.0,-1.0
District of Columbia,2/16/2020,6.0,-1.0,37.0,3.0,0.0,-1.0
Florida,2/16/2020,4.0,1.0,8.0,2.0,-2.0,0.0
Georgia,2/16/2020,-2.0,-5.0,-19.0,-5.0,-3.0,1.0
Hawaii,2/16/2020,4.0,3.0,15.0,4.0,-1.0,-1.0
Idaho,2/16/2020,11.0,3.0,14.0,0.0,-1.0,0.0
Illinois,2/16/2020,8.0,2.0,29.0,3.0,2.0,-1.0
Indiana,2/16/2020,8.0,3.0,34.0,5.0,1.0,-1.0
Iowa,2/16/2020,10.0,18.0,16.0,-4.0,2.0,-1.0
Kansas,2/16/2020,15.0,3.0,23.0,6.0,1.0,-1.0
Kentucky,2/16/2020,3.0,0.0,25.0,3.0,0.0,0.0
Louisiana,2/16/2020,5.0,3.0,-3.0,8.0,-1.0,0.0
Maine,2/16/2020,14.0,8.0,47.0,17.0,3.0,-2.0
Maryland,2/16/2020,5.0,0.0,20.0,-1.0,0.0,-1.0
Massachusetts,2/16/2020,6.0,-4.0,3.0,-1.0,0.0,0.0
Michigan,2/16/2020,9.0,4.0,45.0,4.0,3.0,-1.0
Minnesota,2/16/2020,9.0,2.0,11.0,-3.0,1.0,-1.0
Mississippi,2/16/2020,3.0,1.0,-12.0,4.0,-1.0,1.0
Missouri,2/16/2020,13.0,7.0,45.0,3.0,3.0,-1.0
Montana,2/16/2020,9.0,2.0,-1.0,8.0,0.0,0.0
Nebraska,2/16/2020,11.0,8.0,44.0,0.0,4.0,-1.0
Nevada,2/16/2020,6.0,3.0,36.0,1.0,0.0,-1.0
New Hampshire,2/16/2020,10.0,0.0,21.0,11.0,4.0,-1.0
New Jersey,2/16/2020,4.0,-4.0,20.0,0.0,0.0,0.0
New Mexico,2/16/2020,10.0,9.0,33.0,7.0,1.0,-1.0
New York,2/16/2020,7.0,-3.0,13.0,0.0,0.0,-1.0
North Carolina,2/16/2020,3.0,-3.0,-5.0,-1.0,-1.0,0.0
North Dakota,2/16/2020,9.0,0.0,10.0,4.0,1.0,-1.0
Ohio,2/16/2020,6.0,1.0,25.0,0.0,1.0,-1.0
Oklahoma,2/16/2020,5.0,1.0,17.0,1.0,1.0,0.0
Oregon,2/16/2020,14.0,3.0,33.0,3.0,0.0,-1.0
Pennsylvania,2/16/2020,9.0,1.0,29.0,0.0,1.0,-1.0
Rhode Island,2/16/2020,9.0,-4.0,12.0,7.0,1.0,-1.0
South Carolina,2/16/2020,3.0,-1.0,-9.0,11.0,-1.0,0.0
South Dakota,2/16/2020,15.0,11.0,28.0,1.0,1.0,-2.0
Tennessee,2/16/2020,6.0,1.0,29.0,3.0,1.0,-1.0
Texas,2/16/2020,8.0,3.0,20.0,4.0,1.0,-1.0
Utah,2/16/2020,5.0,3.0,-3.0,-8.0,-3.0,0.0
Vermont,2/16/2020,22.0,11.0,47.0,12.0,4.0,-2.0
Virginia,2/16/2020,4.0,0.0,9.0,-1.0,0.0,0.0
Washington,2/16/2020,15.0,3.0,19.0,5.0,-1.0,-1.0
West Virginia,2/16/2020,7.0,1.0,28.0,3.0,1.0,0.0
Wisconsin,2/16/2020,12.0,6.0,34.0,-1.0,2.0,-2.0
Wyoming,2/16/2020,5.0,2.0,0.0,-12.0,1.0,0.0
Alabama,2/17/2020,3.0,0.0,17.0,7.0,-17.0,4.0
Alaska,2/17/2020,3.0,-2.0,9.0,-6.0,-33.0,8.0
Arizona,2/17/2020,9.0,1.0,35.0,1.0,-25.0,5.0
Arkansas,2/17/2020,1.0,-2.0,7.0,-1.0,-16.0,5.0
California,2/17/2020,9.0,1.0,44.0,-12.0,-38.0,8.0
Colorado,2/17/2020,5.0,2.0,4.0,-4.0,-20.0,5.0
Connecticut,2/17/2020,11.0,1.0,33.0,-1.0,-29.0,6.0
Delaware,2/17/2020,12.0,2.0,35.0,6.0,-23.0,4.0
District of Columbia,2/17/2020,-10.0,-12.0,21.0,-39.0,-52.0,11.0
Florida,2/17/2020,5.0,1.0,24.0,0.0,-19.0,4.0
Georgia,2/17/2020,4.0,1.0,24.0,0.0,-19.0,4.0
Hawaii,2/17/2020,5.0,-4.0,14.0,-2.0,-47.0,11.0
Idaho,2/17/2020,10.0,4.0,44.0,0.0,-25.0,3.0
Illinois,2/17/2020,2.0,-3.0,-14.0,-13.0,-23.0,6.0
Indiana,2/17/2020,5.0,-3.0,-4.0,2.0,-13.0,4.0
Iowa,2/17/2020,-2.0,5.0,-8.0,-7.0,-8.0,4.0
Kansas,2/17/2020,7.0,0.0,55.0,2.0,-15.0,3.0
Kentucky,2/17/2020,3.0,-2.0,24.0,3.0,-12.0,4.0
Louisiana,2/17/2020,2.0,0.0,14.0,4.0,-3.0,2.0
Maine,2/17/2020,15.0,5.0,32.0,12.0,-33.0,6.0
Maryland,2/17/2020,8.0,-1.0,40.0,-18.0,-33.0,8.0
Massachusetts,2/17/2020,11.0,-2.0,32.0,-26.0,-42.0,9.0
Michigan,2/17/2020,1.0,-2.0,1.0,-2.0,-13.0,4.0
Minnesota,2/17/2020,4.0,-1.0,5.0,-6.0,-22.0,5.0
Mississippi,2/17/2020,2.0,2.0,-1.0,1.0,-15.0,4.0
Missouri,2/17/2020,4.0,2.0,8.0,-2.0,-20.0,5.0
Montana,2/17/2020,6.0,1.0,10.0,-2.0,-24.0,5.0
Nebraska,2/17/2020,7.0,1.0,13.0,1.0,-14.0,4.0
Nevada,2/17/2020,5.0,0.0,31.0,-2.0,-28.0,6.0
New Hampshire,2/17/2020,21.0,8.0,55.0,13.0,-21.0,5.0
New Jersey,2/17/2020,14.0,1.0,63.0,-15.0,-36.0,8.0
New Mexico,2/17/2020,8.0,6.0,35.0,7.0,-26.0,4.0
New York,2/17/2020,7.0,-2.0,23.0,-22.0,-37.0,9.0
North Carolina,2/17/2020,5.0,2.0,46.0,6.0,-11.0,2.0
North Dakota,2/17/2020,9.0,-3.0,4.0,1.0,-21.0,5.0
Ohio,2/17/2020,5.0,-2.0,9.0,-1.0,-19.0,5.0
Oklahoma,2/17/2020,3.0,-1.0,28.0,2.0,-19.0,5.0
Oregon,2/17/2020,10.0,2.0,74.0,-3.0,-25.0,4.0
Pennsylvania,2/17/2020,8.0,-1.0,43.0,-11.0,-21.0,5.0
Rhode Island,2/17/2020,13.0,-3.0,91.0,-13.0,-31.0,7.0
South Carolina,2/17/2020,6.0,2.0,37.0,8.0,-15.0,3.0
